Date,Symbol,Open,High,Low,Close,Adj Close,Volume,VWAP
22-12-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
23-12-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
24-12-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
25-12-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
26-12-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
29-12-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
30-12-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
31-12-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
01-01-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
02-01-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
05-01-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
06-01-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
07-01-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
08-01-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
09-01-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
12-01-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
13-01-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
14-01-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
15-01-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
16-01-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
19-01-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
20-01-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
21-01-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
22-01-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
23-01-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
26-01-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
